date,open,high,low,close,volume
20230103,130.74,131.46,124.18,124.95,28022117
20230104,126.28,128.65,125.07,126.96,20862469
20230105,126.71,127.85,124.76,125.17,18721047
20230106,125.3,130.29,124.42,129.35,22655595
20230109,129.65,133.41,129.65,130.02,16993429
20230110,130.13,131.26,128.13,130.75,14258371
20230111,130.93,133.5,130.44,133.44,18591944
20230112,133.42,134.66,131.45,133.18,17878014
20230113,133.58,134.92,131.65,134.55,14315967
20230117,134.5,137.29,134.0,135.6,16076251
20230118,136.17,138.61,134.76,134.79,17963634
20230119,134.63,136.24,133.22,135.58,15395288
20230120,135.48,137.99,134.23,137.92,27611087
20230123,137.95,143.31,137.02,141.08,19128451
20230124,141.24,143.36,139.59,141.99,12813050
20230125,141.88,142.43,138.815,142.0,14695201
20230126,142.32,144.25,141.9,143.44,13954196
20230127,143.34,147.23,143.0,145.88,16865178
20230130,144.43,145.55,142.855,143.14,16160505
20230131,142.6,144.43,141.44,143.85,24261849
20230201,144.29,146.61,141.33,145.96,19919641
20230202,147.14,152.07,142.32,145.88,25511709
20230203,145.45,157.38,144.75,154.25,33399665
20230206,152.94,153.45,150.78,151.83,16562979
20230207,151.93,155.23,150.37,154.19,24198381
20230208,154.29,154.58,151.17,152.31,20625939
20230209,153.19,154.32,150.42,151.0,15372651
20230210,150.47,151.34,148.7,151.02,13908481
20230213,150.76,154.26,150.43,153.7,17351556
20230214,153.66,155.12,150.87,153.09,17546496
20230215,152.71,155.5,152.0,155.36,14456885
20230216,155.48,156.325,152.75,153.15,17153784
20230217,152.45,153.39,150.85,152.61,16652748
20230221,150.74,151.35,148.41,148.8,17964142
20230222,148.36,149.95,147.16,149.15,15055227
20230223,149.67,150.35,147.24,148.96,14081997
20230224,148.72,148.8,145.73,146.5,15870381
20230227,147.1,149.17,146.83,148.03,12643065
20230228,147.27,149.07,146.84,147.1,19375929
20230301,148.13,148.51,145.01,145.38,16477007
20230302,144.57,146.71,143.54,145.43,16384231
20230303,146.3,151.27,146.3,151.1,20330181
20230306,152.51,156.29,152.13,153.9,19402422
20230307,154.02,154.72,151.14,151.75,15211550
20230308,151.71,153.47,151.49,152.96,12244920
20230309,152.27,154.53,150.1,150.36,15495850
20230310,150.4,152.01,147.61,148.5,20312272
20230313,150.55,153.14,146.2,150.8,24009419
20230314,150.89,153.4,149.8,152.77,24754786
20230315,152.72,153.31,149.92,152.67,22693796
